"V1" "V2" "V3" "V4" "V5"
10.29312 12.31772 8.45191 1.09084 27.87777
9.64981 13.6649 9.09486 0.88466 26.75295
9.12798 15.13706 8.97717 0.79263 26.0138
9.10025 14.6618 9.04004 0.83535 26.40545
9.35962 15.81163 8.6557 0.83812 25.42134
9.92797 15.18754 9.14903 0.80546 25.04748
9.78958 14.62168 8.46396 0.73279 26.46961
10.2737 14.69409 9.36802 0.84912 24.93778
9.94197 14.66733 8.94422 0.97738 25.55971
10.00725 14.74719 10.1053 1.09356 24.16251
10.35703 15.17206 9.27261 1.25424 24.07242
9.74897 14.41683 9.19508 1.01553 25.70327
11.60027 14.76953 8.01073 0.8743 24.8413
10.02243 13.75558 9.16661 0.59508 26.50725
9.57134 14.05011 9.03224 0.73248 26.68776
9.86648 14.85527 9.87343 0.79051 24.76316
9.71685 15.0863 8.60399 0.92772 25.79958
9.44497 13.70951 10.56253 1.06579 25.33353
9.43426 13.87154 10.00809 1.20956 25.63267
9.72522 13.88392 9.33729 1.24602 25.95941
9.34039 14.11736 9.82469 1.0205 25.82131
8.60966 14.96383 8.34379 0.78415 27.35044
10.05868 14.54807 9.08345 0.89358 25.49572
9.83422 14.49273 9.68466 1.00451 25.11718
10.07674 13.90423 10.64689 1.19838 24.36456
10.34478 15.84526 8.73861 0.9618 24.24263
10.86539 13.87109 9.77151 0.91134 24.73695
10.10467 13.92246 10.22726 0.87801 25.0801
8.96537 13.95567 10.37704 0.91053 25.91308
10.74622 14.5815 10.35097 1.50773 23.12313
10.4361 13.58337 10.64577 0.88859 24.57919
10.0586 14.39113 9.66474 1.03128 24.99012
9.34502 15.74816 8.48107 0.87484 25.68823
10.13232 15.37 9.35132 1.08915 24.24653
9.96331 13.39418 10.97023 0.82873 24.94258
10.07168 15.62857 9.32275 1.16927 24.00508
11.21565 13.81574 9.4855 1.64594 24.17062
9.80088 14.90601 10.90454 1.3898 23.277
10.40142 14.73484 10.21125 1.25838 23.66755
10.20372 14.97187 9.34405 1.41076 24.3464
9.59546 14.3138 9.62293 1.06675 25.52484
10.32641 14.18364 10.23781 1.01936 24.38725
10.0597 14.36807 10.17734 0.99455 24.53135
9.41899 14.78837 9.56897 0.97171 25.36643
11.46458 13.22693 8.862 1.44652 25.15751
10.82832 14.30934 8.85157 1.34528 24.8488
10.12783 14.8949 8.79175 1.26009 25.11599
11.03695 14.33256 9.815 1.13846 23.91337
10.16811 13.97347 11.80878 1.16043 23.16599
9.14956 14.39832 10.1859 1.15276 25.2845
8.82148 15.49526 8.9058 1.05143 25.82179
9.46861 14.1777 8.37693 1.02037 27.01024
9.96945 14.28612 8.83535 1.36346 25.69881
10.01832 14.12004 7.19428 1.43955 27.36935
9.17456 13.85103 8.46341 1.23591 27.38298
10.61703 13.18681 10.75643 1.35755 24.31417
11.40032 14.01115 9.13382 1.10783 24.58355
10.84674 14.98723 8.83842 1.10016 24.46783
9.39267 15.17802 10.75842 0.9281 23.96883
11.55483 12.99145 9.96937 1.10275 24.52752
11.82354 13.93446 8.96101 1.21 24.1965
11.45693 13.65884 9.03833 1.26572 24.74518
9.03282 15.6246 7.65075 1.29986 26.54254
10.05116 14.64125 7.799 1.52797 26.23068
10.42423 15.25778 7.39302 2.11107 25.23158
10.28666 14.08302 7.49561 2.03626 26.38648
9.70495 15.07372 7.06114 1.96131 26.46832
10.20601 14.3836 7.82209 1.86885 26.00248
10.68123 13.34186 7.82856 1.60151 26.72311
10.74581 14.27137 7.38199 1.38841 26.34372
11.47976 13.84321 7.94291 1.74885 25.19541
9.52991 13.91081 8.9622 2.08405 25.80738
9.4832 12.7134 9.17956 1.64906 27.17055
9.29609 12.57184 9.79416 1.59677 26.8952
8.62403 13.42319 9.52302 1.33277 27.20688
8.86909 13.34064 8.99402 1.38411 27.52736
9.76247 13.71902 9.05818 1.34563 26.24405
10.2617 13.70282 8.85439 1.28505 25.9819
9.08628 14.64574 8.0082 1.4243 26.90694
9.27794 15.07268 8.34624 1.40905 25.97356
10.89343 13.1341 8.85049 1.42286 25.78456
9.57362 14.26145 9.77461 1.64325 24.86771
10.04584 13.75452 9.95978 1.95543 24.50936
10.23096 13.26663 8.63852 2.25959 25.93918
9.67687 13.94886 8.01348 1.37272 27.1149
11.24301 15.22106 7.50058 1.27774 24.89163
11.29613 15.27019 8.04905 1.68124 23.99964
10.05714 15.22095 7.50822 1.24688 26.10438
11.92548 14.67113 7.78547 1.26408 24.47661
11.47943 12.39773 10.03728 1.19767 25.00928
10.87126 12.63442 9.52989 0.87674 26.14265
11.56787 12.76955 9.2111 1.60719 25.03089
10.33102 15.06432 9.34819 1.71206 23.8283
10.29568 15.88341 7.71092 1.64739 24.63862
9.81884 15.4531 8.42673 1.87351 24.74295
9.7871 15.4532 8.11956 1.72223 25.28898
10.92478 15.0494 7.81031 2.1281 24.4743
9.32214 15.68047 8.98655 2.53863 24.21996
10.08801 15.47213 7.9371 2.34403 24.66031
9.58218 14.84218 7.89837 1.81495 26.1735
9.98461 14.01993 7.50547 1.11878 27.49256
11.15478 13.97229 8.23463 1.55656 25.22765
9.86754 13.88314 8.08028 1.27392 26.9546
10.77583 13.7993 7.42103 1.33026 26.78824
11.00277 13.06155 8.45797 1.50505 26.14584
10.30555 13.98963 8.25639 1.7684 25.89981
9.8312 14.48606 9.37228 1.89595 24.7029
11.49297 14.19709 8.88733 2.91466 23.38602
10.20742 13.2373 9.36714 2.01109 25.63357
10.00218 13.38628 8.34102 2.37083 26.38816
9.55485 14.79408 8.72659 1.81499 25.44367
8.65337 14.1531 9.98982 1.33116 26.03465
10.11923 13.62486 10.75158 1.33714 24.3887
10.48264 13.83871 9.37427 1.19603 25.28243
10.99882 15.25055 7.40225 0.9413 25.54859
9.33461 15.38298 7.6603 0.95406 26.7791
9.40111 15.24833 8.45691 1.04552 25.96023
9.06967 16.50496 8.05485 0.97032 25.5043
10.62441 15.06004 8.80258 1.19952 24.47958
9.84849 15.71792 8.37821 1.11208 25.09867
10.34862 15.21408 10.04398 1.47005 23.15442
10.70207 15.74168 8.71396 1.75294 23.36035
11.04394 15.55102 8.6381 1.90224 23.14083
