"V1" "V2" "V3" "V4" "V5"
0.60668 23.26255 4.33886 2.03438 29.77587
0.72174 23.61406 3.9502 2.20051 29.53121
0.6594 23.02697 4.06524 2.09691 30.16111
0.62353 22.90545 3.73628 2.12978 30.61222
0.61582 23.5315 3.74318 2.39486 29.73129
0.63153 23.15036 4.31312 2.10583 29.82076
0.62673 23.65025 3.69253 2.0565 29.98809
0.608 22.54582 4.3786 2.00165 30.48415
0.6019 22.95531 4.12664 1.92681 30.39908
0.64074 22.05353 4.1917 2.03907 31.08188
0.63779 22.27223 4.06613 2.37223 30.6624
0.76992 23.1201 4.16018 2.35401 29.60839
0.69238 23.35364 3.95081 2.34852 29.66967
0.67199 23.55986 3.68113 2.27097 29.83088
0.62371 22.71728 4.30562 2.22907 30.14562
0.72833 22.61066 4.55462 2.28736 29.83467
0.75615 23.05676 4.10682 2.2582 29.83731
0.75004 23.05391 4.70822 2.10444 29.4038
0.61959 23.40482 5.03692 2.21375 28.76259
0.62013 22.75196 5.26298 2.30269 29.08359
0.54109 23.4912 4.60164 2.13181 29.25984
0.58325 23.07313 4.19195 2.47506 29.69397
0.61016 23.36782 3.97699 2.28249 29.7765
0.5236 22.58444 4.1113 2.39305 30.39938
0.5293 23.50382 4.1053 2.13404 29.73759
0.57642 23.32855 4.00847 2.18779 29.90986
0.56552 24.02674 3.60321 2.35574 29.46617
0.61515 23.7276 3.47796 2.54545 29.64688
0.56535 23.98227 3.53414 2.21635 29.70992
0.58965 23.88064 3.71218 2.45785 29.37243
0.61222 23.16594 3.93822 2.56054 29.73623
0.61783 22.81312 4.21854 2.45084 29.90906
0.62046 22.92241 3.66355 2.37773 30.42326
0.52948 23.69177 3.84993 1.88004 30.06369
0.60458 23.98009 4.01805 2.41454 28.99912
0.63076 23.01257 3.75458 2.30019 30.30904
0.53319 23.23069 3.8371 2.0514 30.35826
0.59713 23.3576 3.83737 1.97777 30.24256
0.52961 24.73957 3.69921 2.47232 28.57793
0.56862 23.66979 3.93925 2.01842 29.8167
0.64479 23.40363 3.7722 2.02609 30.16366
0.60098 24.99731 3.54232 2.14477 28.73626
0.63313 23.07252 4.16242 2.34974 29.79992
0.67713 22.81769 3.87382 2.28789 30.35119
0.67111 23.22916 4.34598 2.27039 29.49682
0.58473 23.76901 4.1931 2.32154 29.14707
0.67999 23.93401 3.83897 2.55938 29.0062
0.6468 23.72176 3.76243 2.54677 29.33515
0.67666 23.91953 3.91748 2.3839 29.11753
0.69848 23.77746 3.60408 2.36329 29.57029
0.57389 23.14318 3.76298 2.26637 30.26111
0.59982 23.64324 3.76705 2.36216 29.63816
0.6525 23.22034 3.49438 2.09424 30.54726
0.68785 23.19856 4.26301 2.15 29.7214
0.67885 24.30807 3.52085 2.9612 28.5497
0.79178 22.61843 3.76492 2.49803 30.34254
0.76972 23.6565 4.15223 2.42117 29.03202
0.72946 22.92139 4.58349 2.25726 29.53123
0.84747 21.86488 4.73562 2.52772 30.05423
0.66359 22.75247 4.18634 2.91469 29.50162
0.70813 22.55009 4.367 2.79898 29.59236
0.73276 23.74376 4.07714 2.58917 28.87913
0.74129 22.35952 4.50788 2.50482 29.89883
0.78538 23.49297 4.04547 2.27299 29.42086
0.7555 23.70364 3.92703 2.51322 29.12307
0.84193 22.85339 4.03731 2.36864 29.92337
0.79258 23.09989 4.25123 2.48449 29.39495
0.84483 24.37137 3.45707 2.67842 28.669
0.72315 22.66148 3.56296 2.60077 30.46619
0.76555 21.97699 3.59847 2.88094 30.79455
0.77064 23.23462 4.37934 2.50045 29.13978
0.78158 22.74306 3.96474 2.56998 29.96046
0.79557 22.96635 4.08951 2.71396 29.45877
0.82503 23.17323 4.18684 2.49888 29.33451
0.75348 23.11231 4.30266 2.28663 29.56369
0.70785 22.76426 3.59173 2.37552 30.57654
0.7479 22.5384 4.55727 2.36434 29.81466
0.66008 22.87718 4.21688 2.50911 29.74968
0.59801 23.46417 4.15676 2.36369 29.43467
0.70424 23.24396 3.81933 2.23726 30.01048
0.69028 23.78673 3.51002 2.53492 29.49589
0.70351 23.86503 3.81181 2.35286 29.28706
0.64401 24.02676 3.81894 2.58765 28.94519
1.01874 24.06951 3.72496 2.53766 28.67555
0.71306 23.63696 3.77374 2.63066 29.26505
0.6357 24.0605 3.39592 2.52207 29.40027
0.64373 23.73863 3.60002 2.11619 29.91585
0.74684 23.03862 4.1093 2.17963 29.94044
0.66785 24.19178 3.62792 2.12666 29.40322
0.74018 23.00587 4.11187 2.11719 30.04038
0.65114 23.30771 4.29904 2.23994 29.52514
0.78852 23.26226 4.41149 2.35826 29.19768
0.81397 23.81504 4.07552 2.21283 29.10158
0.82043 23.35448 4.32358 2.18713 29.33326
0.70369 23.43108 4.15108 2.20264 29.52396
0.7837 24.02407 3.22119 2.41888 29.56597
0.73602 23.21878 3.69298 2.2743 30.09359
0.68425 23.29796 3.83327 2.07381 30.12575
0.78316 23.57782 3.84872 2.13985 29.66297
0.71822 23.10387 3.82375 2.69969 29.66569
0.64779 23.73641 3.83406 2.57416 29.21758
0.70457 23.86316 3.63849 2.46 29.34731
0.63306 23.51666 3.64214 2.89545 29.33319
0.71587 23.00777 3.67898 2.7409 29.86899
0.71663 23.05422 3.61074 2.58427 30.04763
0.65038 23.13987 3.72567 2.47741 30.02082
0.81324 23.3553 3.6678 2.58729 29.59699
0.73245 22.22483 3.83231 2.53594 30.68483
0.67333 23.17545 3.72577 2.45899 29.98753
0.61074 22.98954 3.889 2.31621 30.2193
0.66498 23.81814 3.87177 2.54122 29.12325
0.74374 22.50658 4.04362 2.13736 30.58644
0.74516 23.10357 4.04205 2.4384 29.68785
0.73223 23.50984 4.1189 2.37648 29.27727
0.69221 23.18489 4.07038 2.24561 29.82504
0.67902 23.00852 4.18678 2.18791 29.95152
0.67489 23.50776 4.07928 2.20639 29.54612
0.75275 23.26865 4.26394 2.44633 29.28648
0.75628 23.14358 4.33975 2.39447 29.37903
0.77371 23.86654 4.19146 2.26486 28.92286
0.83051 23.27926 4.34824 2.35032 29.22425
0.76918 22.47396 4.43946 2.17477 30.15969
0.76719 22.70674 4.18774 2.42601 29.93531
0.93507 23.01058 3.73186 2.36157 29.99163
0.7518 22.97581 4.00393 2.70947 29.5904
0.82796 22.24481 4.37994 2.5678 30.01414
0.82231 22.74528 4.47823 2.20373 29.78117
0.78539 23.1819 4.43836 2.39518 29.21976
0.7183 22.81906 4.28709 2.32176 29.87154
0.76947 23.2181 4.2641 2.31579 29.4512
0.86903 23.63717 3.92907 2.08783 29.49264
0.7753 23.68518 4.49153 2.35432 28.71608
0.79791 23.93556 4.0645 2.42643 28.79966
0.80415 24.35414 3.74416 2.61091 28.51335
0.68255 23.70046 4.32362 2.59193 28.7196
0.69107 23.62335 3.87942 2.53013 29.28939
0.79855 23.3644 4.2982 2.38765 29.16943
0.7122 23.45179 3.81682 2.43839 29.59519
0.76414 22.29365 4.41999 1.99155 30.54466
0.72997 23.2702 4.20436 2.31429 29.49984
0.67862 23.53083 4.15421 2.09753 29.54993
0.81712 23.49261 4.7717 2.02381 28.91813
0.82983 23.329 4.31218 2.27577 29.27312
0.76809 23.39843 3.90823 2.18442 29.75542
0.79052 23.76257 4.37426 2.30596 28.79502
0.76227 23.98789 3.74878 2.10367 29.41228
0.79658 22.79737 4.20503 2.12693 30.08858
0.73963 23.04952 4.09793 2.17988 29.95187
0.76912 23.71665 4.8579 2.26953 28.42384
0.81638 22.55392 4.18744 2.22199 30.23345
0.90019 22.4977 4.65149 2.19377 29.77816
0.84946 23.9177 4.68773 2.33941 28.23495
0.88309 23.54366 4.5261 2.67407 28.39919
0.96639 22.81215 4.14405 2.47591 29.61582
0.80973 23.63115 4.16852 2.44618 28.96223
0.80744 23.37111 3.8418 2.21965 29.77179
0.63635 23.74751 3.72746 2.35131 29.54999
0.57592 23.44214 3.77565 2.22379 29.99974
0.65436 23.70255 4.01019 2.44888 29.20836
0.60516 23.4979 3.57475 2.39619 29.93685
0.71472 22.78488 3.82885 2.44271 30.24126
0.71147 22.75707 4.4286 2.42232 29.69364
0.70444 23.89433 4.30296 2.47693 28.6461
0.66805 24.12379 4.1735 2.53563 28.52482
0.60577 22.81349 4.01099 2.75282 29.82868
0.65379 22.37377 4.16017 2.49011 30.33192
0.77816 22.3598 4.1724 2.44249 30.26084
0.66019 23.19663 3.71749 2.41815 30.02639
0.6714 23.13808 3.96293 2.53544 29.71054
0.6514 23.83559 3.81633 2.42422 29.29099
0.59601 23.39333 3.74913 2.14025 30.13323
0.69911 22.97725 3.72476 2.4682 30.14155
0.58503 23.01674 4.03941 2.35548 30.01747
0.58747 22.84324 3.93477 2.5857 30.0685
0.63918 22.63524 3.71868 2.76298 30.25454
0.76495 23.07787 4.07916 2.73761 29.3603
0.79962 22.9994 4.13426 2.76908 29.32256
0.73546 23.89059 3.66522 2.44526 29.28359
0.7862 23.77053 4.0602 2.53829 28.86635
0.60403 23.80955 3.967 2.46937 29.17056
0.60554 23.36493 3.87724 2.35318 29.81201
0.67543 22.42526 4.261 2.53888 30.11711
0.65887 22.48119 4.44756 2.84039 29.59108
0.64436 22.87817 4.33177 2.81959 29.34656
0.70033 23.02968 3.77727 2.50884 30.00306
0.78598 23.07268 3.52596 2.77995 29.85859
0.83106 24.46551 3.63587 2.4852 28.61382
0.74857 23.98945 3.29521 2.57419 29.40615
0.80159 23.87186 3.23394 2.18447 29.92613
0.74108 23.59646 3.06055 2.45624 30.16212
0.80675 23.99571 3.54543 2.30414 29.36159
0.91295 23.25487 3.74925 2.21086 29.89537
0.8832 23.16524 3.89492 1.94972 30.12411
0.76277 24.58908 3.69111 2.1291 28.84966
0.80369 24.21862 3.88503 2.01319 29.10163
1.04229 24.41117 3.57749 2.07499 28.92434
0.84602 23.04861 3.77317 2.28244 30.06788
0.96718 24.10753 3.59378 2.36968 28.99002
0.82276 23.1208 4.04383 2.42216 29.61032
0.69227 23.92222 3.93574 2.34594 29.12656
0.83433 23.08078 4.03239 2.20843 29.85548
0.80541 23.25558 4.31762 2.22543 29.41488
0.75118 23.29179 4.24467 2.15266 29.58358
0.74861 22.6197 4.25924 2.20541 30.18568
0.70514 24.07211 3.81898 2.35496 29.07644
0.66151 23.72539 4.10221 2.19138 29.34023
0.7282 23.1228 4.48981 2.28824 29.39536
0.66558 23.67053 4.05916 2.1611 29.4636
0.7177 23.07639 3.8441 2.28506 30.09171
0.71583 23.42615 3.92326 2.34461 29.61277
0.76214 24.10413 3.98256 2.32198 28.84939
0.79203 23.48689 4.19784 1.96385 29.58361
0.79097 23.44816 4.12227 1.98336 29.69048
0.82138 23.83237 4.13798 2.0947 29.1422
0.83033 23.86153 4.21234 2.26157 28.86605
0.8755 22.57515 4.23428 1.98541 30.35392
0.67271 24.7087 3.59566 2.32199 28.74022
0.78312 24.38435 3.81967 2.23002 28.8136
0.74986 22.38748 4.32563 2.03305 30.51754
0.85158 21.36202 5.00575 2.22332 30.58944
0.5999 22.58545 4.16408 2.03811 30.62137
0.59342 22.80995 4.63714 2.18629 29.78714
0.63578 23.63911 4.02664 2.38876 29.33197
0.65158 23.37648 3.72779 2.33937 29.92191
0.51811 22.54966 4.06248 2.38931 30.49681
0.48437 23.88476 4.02694 2.4427 29.1834
0.56019 22.9638 4.20071 2.59256 29.70317
0.53475 23.22313 4.07173 2.39939 29.7863
0.65877 22.70994 4.6 2.32411 29.72595
0.69078 23.12031 4.38328 2.28482 29.5374
0.72366 23.89707 4.29992 2.42907 28.67268
0.734 24.54355 3.93087 2.41672 28.40031
0.72264 23.09899 4.08741 2.49057 29.61706
0.74059 23.61434 3.92033 2.5244 29.22058
