"V1" "V2" "V3" "V4" "V5"
10.91269 10.14943 12.70941 0.41331 25.8564
10.06409 10.00179 13.95917 0.40405 25.6196
10.70846 10.14209 13.31263 0.40141 25.47863
9.69321 10.69665 13.9816 0.40065 25.27275
10.00691 10.20075 13.33097 0.46216 26.03564
9.91504 9.99935 14.32585 0.50835 25.3418
9.76524 10.58431 13.8367 0.51672 25.38119
9.88312 10.76701 13.05866 0.48842 25.85351
9.73512 10.37936 13.30984 0.44734 26.1673
10.2283 10.93573 12.52304 0.43161 25.91339
10.94353 10.1645 12.56472 0.40824 25.94697
10.53642 10.11617 12.90006 0.4011 26.07953
9.89286 10.12712 12.88726 0.37971 26.74477
10.10279 10.0531 13.52516 0.36877 25.96906
10.45945 9.74542 13.93997 0.36363 25.53603
10.20754 10.25454 12.26518 0.37798 26.91394
11.15716 10.39931 12.72755 0.48215 25.27162
10.85633 9.83822 14.86141 0.43698 24.07422
10.58283 10.05053 14.347 0.35158 24.74202
10.21575 10.26931 15.51141 0.4094 23.68135
10.79016 10.22569 14.26595 0.41102 24.40047
10.44755 10.38708 13.98478 0.46215 24.77768
11.07559 10.32784 13.02752 0.42009 25.20006
10.42172 10.26123 13.58919 0.35534 25.40979
11.12328 10.49024 12.69944 0.3782 25.3465
10.54331 10.52427 13.29846 0.34503 25.33011
9.41304 11.49877 14.31758 0.35492 24.4783
9.94884 10.05611 14.33367 0.36652 25.39308
10.32818 10.01631 13.75977 0.39585 25.5501
9.67113 11.02619 14.24606 0.43098 24.69939
10.65122 9.98633 13.92219 0.38285 25.10938
10.41973 10.81077 13.26039 0.4386 25.12086
10.46687 10.11111 13.35402 0.44885 25.65447
10.18718 9.6949 12.8997 0.43185 26.81272
10.21718 10.77324 12.90482 0.4435 25.69828
9.05016 11.03851 15.03327 0.45036 24.49807
9.42551 11.54506 14.7003 0.45581 23.92706
10.39439 11.07683 13.29058 0.40963 24.88003
10.67002 10.19019 14.08049 0.43666 24.6986
9.71063 10.89475 13.24123 0.40185 25.78878
10.61873 10.42563 14.11326 0.39259 24.50354
10.13997 10.8788 13.8365 0.39467 24.80541
10.16142 10.94533 12.70744 0.37211 25.8486
10.76699 10.3353 12.69517 0.44028 25.79079
9.03252 10.40728 14.27385 0.45519 25.85941
9.6901 10.28446 13.59379 0.44175 26.02188
9.71978 10.18323 13.72787 0.36249 26.04661
10.01714 10.06929 13.35341 0.32182 26.27341
9.65395 9.84602 13.61848 0.3374 26.5771
10.87478 9.97822 13.13624 0.39906 25.65702
9.56725 10.53238 13.65208 0.38442 25.90223
10.9969 9.97035 12.89078 0.38758 25.79669
10.38828 10.45854 13.26818 0.38576 25.53971
10.30755 9.67901 13.88971 0.39155 25.77077
9.58173 10.37755 13.93212 0.34557 25.79385
10.24162 10.36615 14.07506 0.3634 25.02318
10.80135 10.56766 12.76583 0.38506 25.52864
10.09983 10.7095 13.77529 0.38099 25.09576
10.50348 10.39287 13.56271 0.32944 25.2832
9.89077 10.58831 14.0668 0.33995 25.15117
9.82391 10.80679 12.96185 0.32238 26.10821
9.7085 11.20027 12.96143 0.32953 25.83039
10.10205 10.28332 13.9932 0.41122 25.26239
10.54928 10.4062 13.22409 0.39821 25.46783
10.35032 9.74658 13.76258 0.37915 25.79155
10.0062 9.75163 13.66375 0.35432 26.26469
9.82553 9.72906 13.89698 0.35057 26.23293
9.6299 9.8529 14.17353 0.33711 26.03085
10.3738 9.89046 14.00036 0.34623 25.43508
9.63697 10.46543 13.42234 0.3347 26.17343
10.49664 10.13563 13.71189 0.40783 25.28366
10.65673 10.32587 13.92359 0.39485 24.75868
11.47433 9.90076 13.75542 0.41472 24.52128
11.03909 9.81661 13.23737 0.33571 25.60181
10.55085 10.3239 12.85728 0.28663 26.0048
9.87688 11.01069 13.85741 0.376 24.96282
10.50408 10.49003 13.69415 0.3589 25.00928
10.41153 10.37326 13.79583 0.42056 25.07543
11.19267 9.80873 14.08537 0.43256 24.54751
11.33814 9.79222 13.53831 0.4674 24.91216
10.13773 10.15778 13.64447 0.45221 25.63871
11.5165 9.6383 13.35846 0.47207 25.05192
10.4412 10.66812 13.33259 0.47355 25.11575
9.15916 10.82985 13.68321 0.36451 25.98144
