"mean","left.bound","right.bound","subgroup","sex","nat"
17.65988039,17.3407472,17.9998992,"F-W","F",1
15.18353781,14.493718,15.9089004,"F-H","F",1
9.43648416,9.055772,9.8298128,"F-B","F",1
24.97414189,24.6504472,25.3001976,"M-W","M",1
22.91087656,22.124578,23.7719596,"M-H","M",1
17.22967137,16.6918912,17.758244,"M-B","M",1
20.9807488,20.086864,21.8181552,"F-W","F",0
18.04802346,17.3303808,18.8206796,"F-H","F",0
11.56655866,10.8586176,12.285124,"F-B","F",0
29.21302273,28.2925884,30.1085336,"M-W","M",0
26.81288295,25.9712408,27.6916756,"M-H","M",0
20.56431461,19.539618,21.5421856,"M-B","M",0
