"mean","left.bound","right.bound","subgroup","sex","nat"
1.09325954,1.0071192,1.1796232,"F-W","F",1
1.18895358,0.9831312,1.4160088,"F-H","F",1
1.85938801,1.6822944,2.0410584,"F-B","F",1
0.61007209,0.5507176,0.6653052,"M-W","M",1
0.71393761,0.5810528,0.8640552,"M-H","M",1
1.34316784,1.19454,1.5008768,"M-B","M",1
0.85265264,0.7094368,1.005934,"F-W","F",0
0.93595657,0.7829288,1.1030932,"F-H","F",0
1.5398997,1.255998,1.8540088,"F-B","F",0
0.45492904,0.377958,0.5396104,"M-W","M",0
0.53347406,0.4397132,0.6439076,"M-H","M",0
1.03747022,0.8426904,1.2567212,"M-B","M",0
