"mean","left.bound","right.bound","subgroup","sex","nat"
8.08424011,7.7132596,8.4361744,"F-W","F",1
8.09633692,7.3725976,8.8972292,"F-H","F",1
7.17173018,6.7501812,7.5897188,"F-B","F",1
2.33431356,2.1855032,2.4921676,"M-W","M",1
2.3906503,2.067588,2.7513696,"M-H","M",1
2.34227057,2.1350168,2.5589564,"M-B","M",1
8.13197878,7.3996512,8.9165464,"F-W","F",0
8.10357468,7.3292888,8.8739504,"F-H","F",0
7.17075489,6.504144,7.8647252,"F-B","F",0
2.52397111,2.2071692,2.8567444,"M-W","M",0
2.58915754,2.254276,2.9299808,"M-H","M",0
2.52460672,2.1801504,2.8614816,"M-B","M",0
