"V1" "V2" "V3" "V4" "V5"
2.08407 14.14554 10.04679 8.57685 25.32754
1.7757 14.64192 9.38596 8.99996 25.3382
1.76249 15.33738 7.49314 9.70965 25.77651
1.73259 14.34739 7.12839 9.98206 26.8805
1.92013 13.81358 8.18786 10.23962 25.93408
1.64758 15.06578 9.53733 10.34703 23.62396
1.9072 14.832 7.04738 9.13453 27.12685
1.74349 13.6875 6.64538 9.9343 28.03614
1.65851 13.42043 7.42928 9.8046 27.72117
1.47473 13.89301 7.4942 10.95219 26.25947
1.73326 14.00944 8.10039 8.61008 27.58734
1.48172 14.32755 7.06363 9.55676 27.60692
1.52597 15.00773 8.61643 8.78067 26.12995
1.29526 14.04218 10.14696 8.75091 25.82962
1.14301 13.49318 11.092 9.15983 25.23946
1.23754 14.04563 9.50168 8.5764 26.6896
1.20048 13.02785 8.34085 10.28361 27.21671
1.36131 13.99663 8.26903 8.76748 27.64788
1.73748 13.4237 8.64324 9.16116 27.10159
1.26537 13.4398 9.11715 8.60464 27.63673
1.01803 15.44332 8.22649 8.68275 26.7271
1.48464 15.29184 8.35885 9.17692 25.78904
1.42115 14.42961 9.26309 9.39473 25.5813
1.425 14.51415 9.65553 9.08671 25.419
1.04881 12.62201 8.71438 9.86958 27.77512
1.02434 13.42366 8.77122 10.16228 26.67221
1.29579 14.20101 8.35433 9.70678 26.50531
1.02862 14.17352 10.00739 9.38935 25.5271
1.40572 15.76795 9.50606 8.76502 24.69172
1.2694 14.43103 10.41941 8.41956 25.68806
1.57434 14.36354 10.57963 8.68042 25.01306
1.19101 13.99259 9.21221 9.68346 25.99682
1.41402 14.57304 7.95265 10.04305 26.08798
1.15243 14.38009 8.6466 9.35916 26.5805
1.08684 14.82263 9.18792 9.82728 25.20387
0.87421 15.28841 8.70752 8.82094 26.37562
1.28292 13.78679 8.26439 9.44636 27.26818
1.40265 13.86413 8.18613 9.7601 26.83706
1.07527 13.72143 10.26253 9.93905 25.13801
1.36063 14.33587 8.45106 9.79823 26.11284
1.22852 14.02481 8.74903 9.24664 26.82144
1.14497 14.83532 8.61686 10.03518 25.48102
1.23665 12.99022 9.12658 10.13919 26.61076
1.16033 13.92133 8.6286 10.31336 26.04463
1.199 13.61209 8.96233 10.09706 26.2046
1.18728 13.52855 9.5493 10.37286 25.44909
1.25355 14.31716 9.04654 9.60221 25.85775
1.11378 13.59347 7.44079 10.18233 27.71433
1.16688 13.82561 7.1466 9.18502 28.71567
1.24235 13.48 7.2867 9.34506 28.68319
1.35511 13.95243 7.58951 10.41355 26.74188
